# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:gr.fac. D             20:gr.fac. f          
       2.147141079936e+08       1.639504222492e-14       2.158627838071e-03       9.946823228776e+10       1.461294402432e+04       6.805767954798e-05       3.137605255955e+12       1.246283393756e-03       5.848189065198e+21       2.426578059141e+16       1.101388007962e+13       1.337809319179e-34       1.252688634600e+02       4.166096737440e+01       4.385135802907e-08       4.045595255762e+21       9.893929234452e+21       1.206366974029e+17       5.270319590669e-02       7.662293094199e-02 
       2.132215570490e+08       1.662537561088e-14       2.173738177589e-03       9.809016857312e+10       1.461294400921e+04       6.853408324616e-05       3.115794689326e+12       1.255007338733e-03       5.687265747389e+21       2.376325095960e+16       1.078578928813e+13       1.310104097743e-34       1.218238212754e+02       4.051395898335e+01       4.385135802907e-08       3.934273510892e+21       9.621681170703e+21       1.181383844020e+17       5.273136534640e-02       7.658202030310e-02 
       2.117393813344e+08       1.685894493868e-14       2.188954289522e-03       9.673119701470e+10       1.461294399399e+04       6.901382176940e-05       3.094135735375e+12       1.263792350780e-03       5.530770520698e+21       2.327112841228e+16       1.056242211886e+13       1.282972634673e-34       1.184735481101e+02       3.939852158277e+01       4.385135802907e-08       3.826014981698e+21       9.356924475897e+21       1.156918099510e+17       5.275953479418e-02       7.654115350521e-02 
       2.102675087281e+08       1.709579566984e-14       2.204276912380e-03       9.539105310314e+10       1.461294397867e+04       6.949691846147e-05       3.072627340191e+12       1.272638857359e-03       5.378581538328e+21       2.278919742502e+16       1.034368074847e+13       1.256403047780e-34       1.152154366090e+02       3.831378631403e+01       4.385135802907e-08       3.720735378355e+21       9.099453012127e+21       1.132959025761e+17       5.278770425009e-02       7.650033047934e-02 
       2.088058676096e+08       1.733597390451e-14       2.219706791948e-03       9.406947599368e+10       1.461294396324e+04       6.998339682954e-05       3.051268457187e+12       1.281547288924e-03       5.230580306312e+21       2.231724693680e+16       1.012946937945e+13       1.230383700949e-34       1.120469511576e+02       3.725890822846e+01       4.385135802907e-08       3.618352730425e+21       8.849066313726e+21       1.109496129926e+17       5.281587371419e-02       7.645955115665e-02 
       2.073543868563e+08       1.757952639054e-14       2.235244681287e-03       9.276620845540e+10       1.461294394770e+04       7.047328054532e-05       3.030058047054e+12       1.290518078942e-03       5.086651591257e+21       2.185507025750e+16       9.919694198214e+12       1.368506093378e-34       1.318616324707e+02       4.385905744291e+01       4.385135802907e-08       3.518787323031e+21       8.605569431191e+21       1.086519136461e+17       5.284404318654e-02       7.641881546845e-02 
       2.059129958402e+08       1.782650053252e-14       2.250891335279e-03       9.148099682114e+10       1.461294393205e+04       7.096659344625e-05       3.008995077707e+12       1.299551663913e-03       4.946683330620e+21       2.140246497748e+16       9.714263334006e+12       1.340165160299e-34       1.282351682757e+02       4.265156749961e+01       4.385135802907e-08       3.421961634791e+21       8.368772779389e+21       1.064017982623e+17       5.287221266720e-02       7.637812334621e-02 
       2.044816244239e+08       1.807694440102e-14       2.266647514261e-03       9.021359093813e+10       1.461294391630e+04       7.146335953659e-05       2.988078524234e+12       1.308648483396e-03       4.810566545459e+21       2.095923287885e+16       9.513086818649e+12       1.312411150790e-34       1.247084654038e+02       4.147731275713e+01       4.385135802907e-08       3.327800277466e+21       8.138491989952e+21       1.041982814061e+17       5.290038215624e-02       7.633747472158e-02 
       2.030602029580e+08       1.833090674195e-14       2.282513985847e-03       8.896374411932e+10       1.461294390043e+04       7.196360298867e-05       2.967307368848e+12       1.317808980022e-03       4.678195255581e+21       2.052517984869e+16       9.316076547153e+12       1.285231910017e-34       1.212787791256e+02       4.033537856387e+01       4.385135802907e-08       3.236229937253e+21       7.914547767728e+21       1.020403980502e+17       5.292855165373e-02       7.629686952633e-02 
       2.016486622768e+08       1.858843698604e-14       2.298491521287e-03       8.773121309535e+10       1.461294388445e+04       7.246734814401e-05       2.946680600839e+12       1.327033599524e-03       4.549466397027e+21       2.010011579405e+16       9.123146239129e+12       1.258615534870e-34       1.179434402323e+02       3.922487543823e+01       4.385135802907e-08       3.147179317712e+21       7.696765751181e+21       9.992720315239e+16       5.295672115972e-02       7.625630769239e-02 
